电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列,,,,同导演的非女性主义代表作,评分2
戴安娜：她的自述 Diana: In Her Own Words,,2017,,8.8,,https://movie.douban.com/subject/27108853/,女性电影TOP300 (ID: 161498552),,,,阿波罗：登月任务 Apollo: Missions to the Moon,8.4
陷害布兰妮 Framing Britney Spears,,2021,,8,,https://movie.douban.com/subject/35357251/,女性电影TOP300 (ID: 161498552),,,,,
大自然的女王 Queens,,2024,,9.6,,https://movie.douban.com/subject/36631684/,女性电影TOP300 (ID: 161498552),,,,我们的星球：镜头背后 Our Planet: Behind the Scenes,9.5
茉莉牌局 Molly's Game,,2017,,7.2,,https://movie.douban.com/subject/26704137/,女性电影TOP300 (ID: 161498552),,,,芝加哥七君子审判 The Trial of the Chicago 7,8.6
风声,,2009,,8.5,,https://movie.douban.com/subject/3734112/,女性电影TOP300 (ID: 161498552),,,,西风烈,6.2
隔壁房间 The Room Next Door,,2024,,7.8,,https://movie.douban.com/subject/36687720/,女性电影TOP300 (ID: 161498552),,,,痛苦与荣耀 Dolor y gloria,8.5
女子宿舍,,2010,,9.4,,https://movie.douban.com/subject/5353116/,女性电影TOP300 (ID: 161498552),,,,,
福尔摩斯小姐：失踪的侯爵 Enola Holmes,,2020,,6,,https://movie.douban.com/subject/27662541/,女性电影TOP300 (ID: 161498552),,,,演播时刻 第一季 The Hour Season 1,8.8
从今以后 從今以後,,2024,,8.1,,https://movie.douban.com/subject/35618436/,女性电影TOP300 (ID: 161498552),,,,叔·叔,7.6
花落花开 Séraphine,,2008,,8.5,,https://movie.douban.com/subject/3173635/,女性电影TOP300 (ID: 161498552),,,,,
香奈儿 Coco Chanel,,2008,,7.9,,https://movie.douban.com/subject/3236520/,女性电影TOP300 (ID: 161498552),,,,逃离改造营 Boot Camp,6.5
何以为家 ????????,,2018,,9.1,,https://movie.douban.com/subject/30170448/,女性电影TOP300 (ID: 161498552),,,,,
青春变形记 Turning Red,,2022,,8,,https://movie.douban.com/subject/35284253/,女性电影TOP300 (ID: 161498552),,,,地球特派员 Elio,6.8
梦之歌 ?? ?,,2022,,8.4,,https://movie.douban.com/subject/36088979/,女性电影TOP300 (ID: 161498552),,,,,
奈德 Nyad,,2023,,8.5,,https://movie.douban.com/subject/35385225/,女性电影TOP300 (ID: 161498552),,,,徒手攀岩,8.8
七月与安生,,2016,,7.5,,https://movie.douban.com/subject/25827935/,女性电影TOP300 (ID: 161498552),,,,少年的你,8.2
书店 The Bookshop,,2017,,8,,https://movie.douban.com/subject/25728612/,女性电影TOP300 (ID: 161498552),,,,挽歌 Elegy,7.6
Burning Sun：揭露韩流明星聊天室里的秘密 Burning Sun: Exposing the Secret K-pop Chat Groups,,2024,,8.6,,https://movie.douban.com/subject/36897587/,女性电影TOP300 (ID: 161498552),,,,,
蓦然回首 ルックバック,,2024,,8.1,,https://movie.douban.com/subject/36765646/,女性电影TOP300 (ID: 161498552),,,,,
野马 Mustang,,2015,,8.1,,https://movie.douban.com/subject/26372545/,女性电影TOP300 (ID: 161498552),,,,洛杉矶大劫难 Kings,4.7
朱诺 Juno,,2007,,7.8,,https://movie.douban.com/subject/2132495/,女性电影TOP300 (ID: 161498552),,,,在云端 Up in the Air,7.9
与外婆同行 Grandma,,2015,,7.8,,https://movie.douban.com/subject/26279353/,女性电影TOP300 (ID: 161498552),,,,美国派 American Pie,7.4
以火书写 Writing With Fire,,2021,,8.9,,https://movie.douban.com/subject/35288821/,女性电影TOP300 (ID: 161498552),,,,,
勇敢传说 Brave,,2012,,7.7,,https://movie.douban.com/subject/3036473/,女性电影TOP300 (ID: 161498552),,,,赛车总动员,8.2
致允熙 ????,,2019,,8.4,,https://movie.douban.com/subject/30488003/,女性电影TOP300 (ID: 161498552),,,,,
每当变幻时,,2007,,8,,https://movie.douban.com/subject/2070367/,女性电影TOP300 (ID: 161498552),,,,暗战2 暗戰2,6.7
革命之路 Revolutionary Road,,2008,,8.2,,https://movie.douban.com/subject/2037012/,女性电影TOP300 (ID: 161498552),,,,1917,8.5
裂缝 Cracks,,2009,,7.9,,https://movie.douban.com/subject/3007817/,女性电影TOP300 (ID: 161498552),,,,被遗忘的孩子 All the Invisible Children,8.3
真相至上 Nothing But the Truth,,2008,,8.3,,https://movie.douban.com/subject/2335122/,女性电影TOP300 (ID: 161498552),,,,稻草狗 Straw Dogs,6.5
饥饿游戏 The Hunger Games,,2012,,7.2,,https://movie.douban.com/subject/3592853/,女性电影TOP300 (ID: 161498552),,,,奔腾年代 Seabiscuit,8.4
蒂蒂有话说 Le clitoris,,2016,,9.1,,https://movie.douban.com/subject/30304498/,女性电影TOP300 (ID: 161498552),,,,,
超体 Lucy,,2014,,7.5,,https://movie.douban.com/subject/24404677/,女性电影TOP300 (ID: 161498552),,,,这个杀手不太冷 Léon,9.4
妈妈咪呀 Mamma Mia!,,2008,,7.6,,https://movie.douban.com/subject/2054024/,女性电影TOP300 (ID: 161498552),,,,,
惠子，凝视 ケイコ 目を澄ませて,,2022,,7.9,,https://movie.douban.com/subject/35727254/,女性电影TOP300 (ID: 161498552),,,,你的鸟儿会唱歌 きみの鳥はうたえる,7.7
消失的爱人 Gone Girl,,2014,,8.7,,https://movie.douban.com/subject/21318488/,女性电影TOP300 (ID: 161498552),,,,七宗罪 Se7en,8.8
兰心大剧院,,2019,,7.2,,https://movie.douban.com/subject/26954859/,女性电影TOP300 (ID: 161498552),,,,春风沉醉的夜晚,8.1
蜂鸟 ??,,2018,,8,,https://movie.douban.com/subject/30318230/,女性电影TOP300 (ID: 161498552),,,,,
无依之地 Nomadland,,2020,,8.1,,https://movie.douban.com/subject/30458949/,女性电影TOP300 (ID: 161498552),,,,骑士 The Rider,7.5
0.5毫米 0.5ミリ,,2014,,8.3,,https://movie.douban.com/subject/21767183/,女性电影TOP300 (ID: 161498552),,,,碎片 カケラ,7.2
小妈妈 Petite maman,,2021,,8,,https://movie.douban.com/subject/35225859/,女性电影TOP300 (ID: 161498552),,,,,
尼斯·疯狂的心 Nise - O Cora??o da Loucura,,2015,,8,,https://movie.douban.com/subject/26631663/,女性电影TOP300 (ID: 161498552),,,,,
小小的家 小さいおうち,,2014,,8.2,,https://movie.douban.com/subject/20389706/,女性电影TOP300 (ID: 161498552),,,,黄昏的清兵卫 たそがれ清兵衛,8.8
偶然与想象 偶然と想像,,2021,,8.3,,https://movie.douban.com/subject/35360296/,女性电影TOP300 (ID: 161498552),,,,驾驶我的车 ドライブ?マイ?カー,7.9
莫娣 Maudie,,2016,,9,,https://movie.douban.com/subject/25938803/,女性电影TOP300 (ID: 161498552),,,,罪恶之家 An Inspector Calls,8.2
