电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列
香奈儿 Coco Chanel,,2008,,7.9,,https://movie.douban.com/subject/3236520/,女性电影TOP300 (ID: 161498552)
何以为家 كفرناحوم,,2018,,9.1,,https://movie.douban.com/subject/30170448/,女性电影TOP300 (ID: 161498552)
青春变形记 Turning Red,,2022,,8.0,,https://movie.douban.com/subject/35284253/,女性电影TOP300 (ID: 161498552)
梦之歌 너와 나,,2022,,8.4,,https://movie.douban.com/subject/36088979/,女性电影TOP300 (ID: 161498552)
奈德 Nyad,,2023,,8.5,,https://movie.douban.com/subject/35385225/,女性电影TOP300 (ID: 161498552)
七月与安生,,2016,,7.5,,https://movie.douban.com/subject/25827935/,女性电影TOP300 (ID: 161498552)
书店 The Bookshop,,2017,,8.0,,https://movie.douban.com/subject/25728612/,女性电影TOP300 (ID: 161498552)
Burning Sun：揭露韩流明星聊天室里的秘密 Burning Sun: Exposing the Secret K-pop Chat Groups,,2024,,8.6,,https://movie.douban.com/subject/36897587/,女性电影TOP300 (ID: 161498552)
蓦然回首 ルックバック,,2024,,8.1,,https://movie.douban.com/subject/36765646/,女性电影TOP300 (ID: 161498552)
野马 Mustang,,2015,,8.1,,https://movie.douban.com/subject/26372545/,女性电影TOP300 (ID: 161498552)
朱诺 Juno,,2007,,7.8,,https://movie.douban.com/subject/2132495/,女性电影TOP300 (ID: 161498552)
与外婆同行 Grandma,,2015,,7.8,,https://movie.douban.com/subject/26279353/,女性电影TOP300 (ID: 161498552)
以火书写 Writing With Fire,,2021,,8.9,,https://movie.douban.com/subject/35288821/,女性电影TOP300 (ID: 161498552)
勇敢传说 Brave,,2012,,7.7,,https://movie.douban.com/subject/3036473/,女性电影TOP300 (ID: 161498552)
致允熙 윤희에게,,2019,,8.4,,https://movie.douban.com/subject/30488003/,女性电影TOP300 (ID: 161498552)
每当变幻时,,2007,,8.0,,https://movie.douban.com/subject/2070367/,女性电影TOP300 (ID: 161498552)
革命之路 Revolutionary Road,,2008,,8.2,,https://movie.douban.com/subject/2037012/,女性电影TOP300 (ID: 161498552)
裂缝 Cracks,,2009,,7.9,,https://movie.douban.com/subject/3007817/,女性电影TOP300 (ID: 161498552)
真相至上 Nothing But the Truth,,2008,,8.3,,https://movie.douban.com/subject/2335122/,女性电影TOP300 (ID: 161498552)
饥饿游戏 The Hunger Games,,2012,,7.2,,https://movie.douban.com/subject/3592853/,女性电影TOP300 (ID: 161498552)
蒂蒂有话说 Le clitoris,,2016,,9.1,,https://movie.douban.com/subject/30304498/,女性电影TOP300 (ID: 161498552)
超体 Lucy,,2014,,7.5,,https://movie.douban.com/subject/24404677/,女性电影TOP300 (ID: 161498552)
妈妈咪呀 Mamma Mia!,,2008,,7.6,,https://movie.douban.com/subject/2054024/,女性电影TOP300 (ID: 161498552)
惠子，凝视 ケイコ 目を澄ませて,,2022,,7.9,,https://movie.douban.com/subject/35727254/,女性电影TOP300 (ID: 161498552)
消失的爱人 Gone Girl,,2014,,8.7,,https://movie.douban.com/subject/21318488/,女性电影TOP300 (ID: 161498552)
兰心大剧院,,2019,,7.2,,https://movie.douban.com/subject/26954859/,女性电影TOP300 (ID: 161498552)
蜂鸟 벌새,,2018,,8.0,,https://movie.douban.com/subject/30318230/,女性电影TOP300 (ID: 161498552)
无依之地 Nomadland,,2020,,8.1,,https://movie.douban.com/subject/30458949/,女性电影TOP300 (ID: 161498552)
0.5毫米 0.5ミリ,,2014,,8.3,,https://movie.douban.com/subject/21767183/,女性电影TOP300 (ID: 161498552)
小妈妈 Petite maman,,2021,,8.0,,https://movie.douban.com/subject/35225859/,女性电影TOP300 (ID: 161498552)
尼斯·疯狂的心 Nise - O Coração da Loucura,,2015,,8.0,,https://movie.douban.com/subject/26631663/,女性电影TOP300 (ID: 161498552)
小小的家 小さいおうち,,2014,,8.2,,https://movie.douban.com/subject/20389706/,女性电影TOP300 (ID: 161498552)
偶然与想象 偶然と想像,,2021,,8.3,,https://movie.douban.com/subject/35360296/,女性电影TOP300 (ID: 161498552)
莫娣 Maudie,,2016,,9.0,,https://movie.douban.com/subject/25938803/,女性电影TOP300 (ID: 161498552)
图雅的婚事,,2006,,8.0,,https://movie.douban.com/subject/1966460/,女性电影TOP300 (ID: 161498552)
春潮,,2019,,7.1,,https://movie.douban.com/subject/27186348/,女性电影TOP300 (ID: 161498552)
孔雀,,2005,,8.2,,https://movie.douban.com/subject/1309004/,女性电影TOP300 (ID: 161498552)
瀑布,,2021,,7.7,,https://movie.douban.com/subject/35242938/,女性电影TOP300 (ID: 161498552)
得闲炒饭 得閒炒飯,,2010,,7.1,,https://movie.douban.com/subject/4145476/,女性电影TOP300 (ID: 161498552)
最后的假期 Last Holiday,,2006,,8.4,,https://movie.douban.com/subject/1462631/,女性电影TOP300 (ID: 161498552)
金都,,2019,,7.7,,https://movie.douban.com/subject/30159567/,女性电影TOP300 (ID: 161498552)
所有的美丽与血泪 All the Beauty and the Bloodshed,,2022,,8.1,,https://movie.douban.com/subject/36017999/,女性电影TOP300 (ID: 161498552)
无穷动,,2005,,6.8,,https://movie.douban.com/subject/1438708/,女性电影TOP300 (ID: 161498552)
女人们的谈话 Women Talking,,2022,,7.3,,https://movie.douban.com/subject/35290372/,女性电影TOP300 (ID: 161498552)
成为一只珍珠鸡 On Becoming a Guinea Fowl,,2024,,7.1,,https://movie.douban.com/subject/36219468/,女性电影TOP300 (ID: 161498552)
德黑兰禁忌 Tehran Taboo,,2017,,8.2,,https://movie.douban.com/subject/27026997/,女性电影TOP300 (ID: 161498552)
菲洛梅娜 Philomena,,2013,,8.4,,https://movie.douban.com/subject/19973780/,女性电影TOP300 (ID: 161498552)
拿针的女孩 Pigen med nålen,,2024,,7.3,,https://movie.douban.com/subject/35452678/,女性电影TOP300 (ID: 161498552)
女孩 Girl,,2018,,8.1,,https://movie.douban.com/subject/30194769/,女性电影TOP300 (ID: 161498552)
"伯纳黛特你去了哪 Where'd You Go, Bernadette",,2019,,7.6,,https://movie.douban.com/subject/21354767/,女性电影TOP300 (ID: 161498552)
雪路 눈길,,2015,,8.2,,https://movie.douban.com/subject/26334996/,女性电影TOP300 (ID: 161498552)
姨妈的后现代生活,,2006,,7.4,,https://movie.douban.com/subject/1794435/,女性电影TOP300 (ID: 161498552)
革命之间 Între revoluții,,2023,,7.7,,https://movie.douban.com/subject/35880615/,女性电影TOP300 (ID: 161498552)
贝利叶一家 La famille Bélier,,2014,,8.3,,https://movie.douban.com/subject/25855951/,女性电影TOP300 (ID: 161498552)
狐狸与我 Le renard et l'enfant,,2007,,8.5,,https://movie.douban.com/subject/2028659/,女性电影TOP300 (ID: 161498552)
最后的决斗 The Last Duel,,2021,,8.3,,https://movie.douban.com/subject/34658290/,女性电影TOP300 (ID: 161498552)
成长教育 An Education,,2009,,7.7,,https://movie.douban.com/subject/3011093/,女性电影TOP300 (ID: 161498552)
我罩袍下的口红 Lipstick Under My Burkha,,2016,,7.4,,https://movie.douban.com/subject/26881953/,女性电影TOP300 (ID: 161498552)
水 Water,,2005,,8.4,,https://movie.douban.com/subject/1441191/,女性电影TOP300 (ID: 161498552)
监狱来的妈妈,,2025,,0.0,,https://movie.douban.com/subject/35517408/,女性电影TOP300 (ID: 161498552)
人间世事 Les Choses humaines,,2021,,7.8,,https://movie.douban.com/subject/35212084/,女性电影TOP300 (ID: 161498552)
越位 آفساید,,2006,,8.0,,https://movie.douban.com/subject/1825608/,女性电影TOP300 (ID: 161498552)
老妇人 69세,,2019,,7.6,,https://movie.douban.com/subject/34814907/,女性电影TOP300 (ID: 161498552)
哈姆奈特 Hamnet,,2025,,7.8,,https://movie.douban.com/subject/35618471/,女性电影TOP300 (ID: 161498552)
琳达！琳达！琳达！ リンダ リンダ リンダ,,2005,,8.3,,https://movie.douban.com/subject/1432699/,女性电影TOP300 (ID: 161498552)
黑鸟黑鸟黑莓 შაშვი შაშვი მაყვალი,,2023,,7.6,,https://movie.douban.com/subject/35634599/,女性电影TOP300 (ID: 161498552)
萨莉 Sally,,2025,,8.4,,https://movie.douban.com/subject/36781075/,女性电影TOP300 (ID: 161498552)
吹玻璃的人 Die Glasbläserin,,2016,,8.1,,https://movie.douban.com/subject/27073192/,女性电影TOP300 (ID: 161498552)
沙尘暴 عاصفة رملية,,2016,,6.9,,https://movie.douban.com/subject/26677871/,女性电影TOP300 (ID: 161498552)
珠峰女王：拉克帕·夏尔巴 Mountain Queen: The Summits of Lhakpa Sherpa,,2023,,8.8,,https://movie.douban.com/subject/36494011/,女性电影TOP300 (ID: 161498552)
玛莎·斯图尔特自传 Martha,,2024,,8.1,,https://movie.douban.com/subject/37022959/,女性电影TOP300 (ID: 161498552)
